sym  r=-5.400 g=1.750 m0=1.000000 m1=0.000000 m2=0.767000 m3=0.000000 m4=0.734543 m5=0.000000 m6=0.785790 m7=0.000000 m8=0.900092 m9=0.000000 m10=1.079838 m11=0.000000 m12=1.339466 m13=0.000000 m14=1.703989 m15=0.000000 m16=2.210961 m17=0.000000 m18=2.914693 m19=0.000000 m20=3.892884 m21=0.000000 m22=5.256409 m23=0.000000 m24=7.163557 m25=0.000000 m26=9.840664 m27=0.000000 m28=13.612008 m29=0.000000 m30=18.943139 m31=0.000000 m32=26.503798
asym r=-5.400 g=1.800 m0=1.000000 m1=-1.168000 m2=1.434000 m3=-1.827732 m4=2.400384 m5=-3.227453 m6=4.422763 m7=-6.155299 m8=8.677321 m9=-12.365515 m10=17.784207 m11=-25.780900 m12=37.631863 m13=-55.263863 m14=81.592721 m15=-121.040973 m16=180.330692 m17=-269.699528 m18=404.768567 m19=-609.415248 m20=920.197811 m21=-1393.177506 m22=2114.450179 m23=-3216.422017 m24=4902.988909 m25=-7488.529127 m26=11458.345044 m27=-17562.438077 m28=26961.126971 m29=-41451.359748 m30=63818.716617 m31=-98385.330571 m32=151863.396106
sym  r=-5.400 g=1.800 m0=1.000000 m1=0.000000 m2=0.746000 m3=0.000000 m4=0.698389 m5=0.000000 m6=0.731014 m7=0.000000 m8=0.819551 m9=0.000000 m10=0.962445 m11=0.000000 m12=1.168711 m13=0.000000 m14=1.455523 m15=0.000000 m16=1.848934 m17=0.000000 m18=2.386324 m19=0.000000 m20=3.120399 m21=0.000000 m22=4.125096 m23=0.000000 m24=5.504058 m25=0.000000 m26=7.402707 m27=0.000000 m28=10.025410 m29=0.000000 m30=13.659893 m31=0.000000 m32=18.711998
asym r=-5.300 g=1.700 m0=1.000000 m1=-1.255000 m2=1.642000 m3=-2.212695 m4=3.060342 m5=-4.322458 m6=6.213076 m7=-9.061716 m8=13.379655 m9=-19.962060 m10=30.050271 m11=-45.588190 m12=69.629138 m13=-106.982442 m14=165.243195 m15=-256.435175 m16=399.636650 m17=-625.183928 m18=981.411078 m19=-1545.471843 m20=2440.740326 m21=-3864.826538 m22=6134.738263 m23=-9759.769376 m24=15559.268993 m25=-24853.130162 m26=39770.214263 m27=-63748.212286 m28=102344.516606 m29=-164552.775105 m30=264942.291964 m31=-427137.365482 m32=689480.164972
sym  r=-5.300 g=1.700 m0=1.000000 m1=0.000000 m2=0.775000 m3=0.000000 m4=0.751103 m5=0.000000 m6=0.813360 m7=0.000000 m8=0.943182 m9=0.000000 m10=1.145558 m11=0.000000 m12=1.438630 m13=0.000000 m14=1.852885 m15=0.000000 m16=2.434055 m17=0.000000 m18=3.248720 m19=0.000000 m20=4.393016 m21=0.000000 m22=6.005560 m23=0.000000 m24=8.286423 m25=0.000000 m26=11.524910 m27=0.000000 m28=16.140264 m29=0.000000 m30=22.741348 m31=0.000000 m32=32.214290
asym r=-5.400 g=1.850 m0=1.000000 m1=-1.115000 m2=1.320000 m3=-1.630688 m4=2.081198 m5=-2.722950 m6=3.633663 m7=-4.926661 m8=6.767969 m9=-9.400024 m10=13.177968 m11=-18.622894 m12=26.501394 m13=-37.943739 m14=54.620239 m15=-79.004495 m16=114.767156 m17=-167.365570 m18=244.928051 m19=-359.581636 m20=529.448199 m21=-781.648829 m22=1156.830791 m23=-1715.995843 m24=2550.810255 m25=-3799.186748 m26=5668.855722 m27=-8473.053397 m28=12684.601037 m29=-19017.918616 m30=28553.498307 m31=-42926.959663 m32=64616.397875
sym  r=-5.400 g=1.850 m0=1.000000 m1=0.000000 m2=0.726000 m3=0.000000 m4=0.664919 m5=0.000000 m6=0.681427 m7=0.000000 m8=0.748192 m9=0.000000 m10=0.860615 m11=0.000000 m12=1.023683 m13=0.000000 m14=1.248876 m15=0.000000 m16=1.554085 m17=0.000000 m18=1.964913 m19=0.000000 m20=2.517039 m21=0.000000 m22=3.259745 m23=0.000000 m24=4.260940 m25=0.000000 m26=5.614203 m27=0.000000 m28=7.448637 m29=0.000000 m30=9.942612 m31=0.000000 m32=13.342989
asym r=-5.300 g=1.750 m0=1.000000 m1=-1.202000 m2=1.513000 m3=-1.971080 m4=2.642264 m5=-3.622996 m6=5.060641 m7=-7.176868 m8=10.307795 m9=-14.963531 m10=21.921085 m11=-32.367223 m12=48.119791 m13=-71.970619 m14=108.218108 m15=-163.495684 m16=248.062699 m17=-377.819011 m18=577.453607 m19=-885.372496 m20=1361.421584 m21=-2099.004984 m22=3244.123148 m23=-5025.316174 m24=7800.809795 m25=-12132.823627 m26=18904.805734 m27=-29506.564569 m28=46126.883408 m29=-72216.414551 m30=113220.543184 m31=-177740.582775 m32=279375.028540
sym  r=-5.300 g=1.750 m0=1.000000 m1=0.000000 m2=0.753000 m3=0.000000 m4=0.712986 m5=0.000000 m6=0.754975 m7=0.000000 m8=0.856335 m9=0.000000 m10=1.017469 m11=0.000000 m12=1.250085 m13=0.000000 m14=1.575229 m15=0.000000 m16=2.024613 m17=0.000000 m18=2.643920 m19=0.000000 m20=3.498074 m21=0.000000 m22=4.679013 m23=0.000000 m24=6.316921 m25=0.000000 m26=8.596389 m27=0.000000 m28=11.779620 m29=0.000000 m30=16.239795 m31=0.000000 m32=22.509090
asym r=-5.300 g=1.800 m0=1.000000 m1=-1.150000 m2=1.394000 m3=-1.758758 m4=2.288679 m5=-3.051259 m6=4.147302 m7=-5.726224 m8=8.009491 m9=-11.325796 m10=16.164154 m11=-23.253948 m12=33.685882 m13=-49.095014 m14=71.938208 m15=-105.915410 m16=156.610265 m17=-232.465733 m18=346.271984 m19=-517.438540 m20=775.468464 m21=-1165.276871 m22=1755.342193 m23=-2650.212574 m24=4009.714209 m25=-6078.482321 m26=9231.405081 m27=-14043.618456 m28=21398.408653 m29=-32653.689511 m30=49899.055658 m31=-76352.992334 m32=116977.108143
sym  r=-5.300 g=1.800 m0=1.000000 m1=0.000000 m2=0.733000 m3=0.000000 m4=0.678458 m5=0.000000 m6=0.703032 m7=0.000000 m8=0.780594 m9=0.000000 m10=0.908032 m11=0.000000 m12=1.092320 m13=0.000000 m14=1.347732 m15=0.000000 m16=1.696146 m17=0.000000 m18=2.168898 m19=0.000000 m20=2.809929 m21=0.000000 m22=3.680446 m23=0.000000 m24=4.865582 m25=0.000000 m26=6.483822 m27=0.000000 m28=8.700296 m29=0.000000 m30=11.745531 m31=0.000000 m32=15.941924
asym r=-5.200 g=1.700 m0=1.000000 m1=-1.243000 m2=1.608000 m3=-2.148247 m4=2.947453 m5=-4.132694 m6=5.899057 m7=-8.546093 m8=12.535682 m9=-18.582263 m10=27.794690 m11=-41.899354 m12=63.592097 m13=-97.094265 m14=149.033088 m15=-229.838066 m16=355.959599 m17=-553.399770 m18=863.339913 m19=-1351.123174 m20=2120.611880 m21=-3337.165675 m22=5264.462038 m23=-8323.567268 m24=13187.809354 m25=-20935.313292 m26=33294.493051 m27=-53039.529573 m28=84628.056188 m29=-135230.292434 m30=216391.314511 m31=-346718.133282 m32=556226.726246
